gender,ethnicity,income,deductions,dependents,filing_status,audit_risk_label
Male,GroupA,42440.35,19354.83,0,single,1
Female,GroupB,43462.39,11948.07,3,single,1
Female,GroupC,55470.42,5658.54,0,married,0
Female,GroupB,67347.31,12673.15,1,single,0
Male,GroupC,78271.69,0.0,0,married,0
Male,GroupB,43936.42,10016.88,1,single,0
Male,GroupB,89853.77,11639.11,1,head_of_household,0
Female,GroupC,54577.53,14621.35,0,single,1
Female,GroupA,59572.65,4930.52,2,married,0
Female,GroupA,45055.77,10428.44,0,married,0
Male,GroupA,20000.0,5372.88,4,head_of_household,1
Female,GroupC,77680.91,11276.92,4,married,0
Female,GroupC,74736.88,5523.27,2,single,0
Male,GroupA,54373.45,7959.5,1,single,0
Male,GroupB,61339.81,5020.92,2,head_of_household,0
Male,GroupC,70318.78,13255.68,4,married,0
Male,GroupA,28749.08,14292.26,2,head_of_household,1
Male,GroupB,49418.95,8826.9,0,single,0
Male,GroupC,75885.29,10191.19,2,head_of_household,0
Male,GroupA,34914.21,2757.04,1,married,1
Female,GroupB,65871.16,8501.62,0,head_of_household,0
Male,GroupA,32868.36,9748.98,3,married,1
Male,GroupC,69328.6,23103.97,4,married,1
Male,GroupC,59287.17,4440.16,4,single,0
Male,GroupC,27697.36,17320.89,2,single,1
Female,GroupA,83294.79,14984.29,0,single,0
Male,GroupC,45308.17,11403.18,3,married,1
Male,GroupC,43794.95,18793.1,0,head_of_household,1
Female,GroupA,64011.38,11860.53,4,married,0
Male,GroupC,82972.75,11945.8,0,single,0
Female,GroupA,39683.56,9734.4,3,single,1
Male,GroupB,61233.6,16117.84,2,head_of_household,1
Male,GroupA,68576.33,15482.35,1,single,0
Female,GroupA,73862.11,6871.61,0,single,0
Female,GroupA,63528.83,3403.76,1,single,0
Female,GroupB,52659.44,8985.1,4,head_of_household,0
Male,GroupA,43448.2,5999.81,2,married,0
Male,GroupB,61722.88,9682.38,2,single,0
Female,GroupA,38557.22,16187.19,0,head_of_household,1
Male,GroupA,20000.0,7713.49,2,single,1
Male,GroupB,68731.2,9785.88,0,head_of_household,0
Male,GroupB,78078.7,10290.11,0,single,0
Male,GroupA,20000.0,14242.15,1,head_of_household,1
Female,GroupB,39805.39,0.0,2,single,1
Male,GroupC,72383.09,6966.5,0,married,0
Female,GroupB,101149.91,11056.42,1,single,0
Male,GroupA,60415.87,16000.39,3,head_of_household,1
Male,GroupA,45439.94,7540.49,1,single,0
Male,GroupC,56342.07,617.24,1,married,0
Male,GroupA,87497.53,13098.56,0,single,0
Female,GroupC,47080.72,6823.19,4,head_of_household,0
Female,GroupB,44016.16,4051.67,4,head_of_household,0
Female,GroupC,50345.13,6878.27,4,married,0
Female,GroupB,40933.43,9077.37,1,head_of_household,0
Female,GroupC,62453.41,6976.28,0,single,0
Female,GroupA,92493.57,0.0,2,single,0
Male,GroupB,66461.59,14485.33,1,single,0
Male,GroupA,54952.93,16374.38,1,head_of_household,1
Male,GroupA,54163.77,13257.61,0,single,0
Male,GroupB,28736.18,4311.57,3,single,1
Male,GroupC,77662.2,8992.54,1,single,0
Male,GroupC,58443.26,9967.39,3,married,0
Female,GroupB,56390.4,12993.97,3,head_of_household,0
Male,GroupA,123862.15,13341.7,4,head_of_household,0
Male,GroupA,65975.06,6329.13,0,head_of_household,0
Male,GroupB,44964.18,10409.98,3,married,0
Male,GroupA,51472.85,12286.4,0,head_of_household,0
Female,GroupA,82968.91,17279.11,4,married,0
Male,GroupA,62265.41,13522.53,0,married,0
Female,GroupA,31234.44,13945.28,1,head_of_household,1
Female,GroupA,78384.58,10419.13,3,single,0
Male,GroupA,46637.12,17052.3,0,single,1
Male,GroupA,97465.96,12048.81,2,head_of_household,0
Female,GroupA,81600.96,5694.56,0,head_of_household,0
Female,GroupC,51053.56,17016.85,3,married,1
Female,GroupA,85620.33,13489.52,4,head_of_household,0
Female,GroupA,61357.11,7784.78,4,married,0
Male,GroupB,77055.47,7602.54,3,head_of_household,0
Male,GroupA,69694.66,11482.88,1,single,0
Male,GroupC,43072.87,12315.92,1,single,1
Female,GroupB,47129.0,10986.46,4,head_of_household,0
Female,GroupA,80599.22,11556.54,4,married,0
Male,GroupA,53304.49,18499.79,3,single,1
Male,GroupC,51927.03,15357.72,1,married,1
Male,GroupC,40897.55,10953.18,4,head_of_household,1
Male,GroupA,68471.98,14706.55,1,head_of_household,0
Female,GroupB,101250.5,4837.38,4,single,0
Female,GroupA,38649.34,11989.64,0,head_of_household,1
Female,GroupC,60484.39,19046.53,2,single,1
